ANTIOQUIA
Aburrá (Túnel de Occidente) | Devimar | $25300 | ACTIVE
Mondoñedo | DEVISAB | $17600 | ACTIVE
Naranjal | COVIANDES S.A | $16200 | ACTIVE
Pubenza | DEVISAB | $13300 | ACTIVE
Ramal a Soacha | DEVISAB | $15200 | ACTIVE
Río Bogotá | CCFC S.A | $10900 | ACTIVE
San Miguel | INVIAS | $9800 | ACTIVE
San Pedro | DEVISAB | $16300 | ACTIVE
Siberia | Concesión Sabana de Occidente | $12200 | ACTIVE
Pacho | | $7500 | ACTIVE
Sopó | Perimetral Oriental de Bogota S.A.S. | $13900 | ACTIVE

HUILA
Altamira | Concesionaria Ruta al Sur | $12000 | ACTIVE
El Patá | Autovia | $18000 | ACTIVE
Los Cauchos | Concesionaria Ruta al Sur | $11800 | ACTIVE
Neiva | Autovia | $18000 | ACTIVE

LA GUAJIRA
Alto Pino | Concesión Santa Marta Paraguachón | $13900 | ACTIVE
Ebanal | Concesión Santa Marta Paraguachón | $13900 | ACTIVE
Paraguachón | Concesión Santa Marta Paraguachón | $13900 | ACTIVE
San Juan | INVIAS | $9400 | ACTIVE
Uribia | | $3500 | ACTIVE

MAGDALENA
Puente Laureano Gómez | Concesión Ciénaga Barranquilla | $16400 | ACTIVE
Tasajera | Concesión Ciénaga Barranquilla | $16400 | ACTIVE
Neguanje | Concesión Santa Marta Paraguachón | $13900 | ACTIVE
Puente Plato | Yuma Concesionaria | $12500 | ACTIVE
El Difícil | Yuma Concesionaria | $12500 | ACTIVE
Tucurinca | Yuma Concesionaria | $11600 | ACTIVE
Retén 1 | INPROCOS | $8700 | ACTIVE
Retén 2 | INPROCOS | $8700 | ACTIVE

META
Casetabla | Concesión Vial de Los Llanos | $7900 | ACTIVE
El Yucao | Concesión Vial de Los Llanos | $7900 | ACTIVE
Iracá | Concesión Vial de Los Llanos | $15000 | ACTIVE
La Libertad | Concesión Vial de Los Llanos | $19400 | ACTIVE
Ocoa | Concesión Vial de Los Llanos | $15000 | ACTIVE
Pipiral | COVIANDES S.A | $26400 | ACTIVE
Puente Amarillo | Covioriente | $5400 | ACTIVE
Veracruz | Covioriente | $9700 | ACTIVE

NARIÑO
Cano | INVIAS | $13800 | ACTIVE
El Placer | Unión del Sur | $16000 | ACTIVE

NORTE DE SANTANDER
La Parada | INVIAS | $2600 | ACTIVE
Pamplonita | Unión Víal Río Pamplonita | $19700 | ACTIVE
Los Acacios | Unión Víal Río Pamplonita | $7900 | ACTIVE

QUINDÍO
Túnel de la Linea Quindío | INVIAS | $12200 | ACTIVE
Circasia | Autopistas del Café | $20200 | ACTIVE

RISARALDA
Cerritos 2 | INVÍAS | $16600 | ACTIVE
San Clemente | INVIAS | $11400 | ACTIVE
Tarapacá I | Autopistas del Café | $16900 | ACTIVE
Tarapacá II | Autopistas del Café | $16900 | ACTIVE

SANTANDER
Aguas Negras | INVIAS | $14500 | ACTIVE
Picacho | Autovía B/manga Pamplona | $11700 | ACTIVE
La Gómez | Autopista del Río Grande | $15300 | ACTIVE
Lebrija | IDESAN | $10300 | ACTIVE
Los Curos | INVIAS | $11300 | ACTIVE
La Punta | Construvicol S.A | $16200 | ACTIVE
Oiba | INVÍAS | $11300 | ACTIVE
Río Blanco | INVIAS | $11600 | ACTIVE
Rionegro | INVIAS | $10000 | ACTIVE
Curití | INVIAS | $11300 | ACTIVE
La Lizama | Ruta del Cacao | $17900 | ACTIVE
Zambito | INVIAS | $15300 | ACTIVE

SUCRE
La Esperanza | AP de la Sabana | $11900 | ACTIVE
Las Flores | AP de la Sabana | $6700 | ACTIVE
San Onofre | Concesión Ruta al Mar | $18400 | ACTIVE

TOLIMA
Alvarado | Alternativas Viales | $15700 | ACTIVE
Armero-Libano | Alternativas Viales | $15700 | ACTIVE
Peaje Túnel de La Línea Tolima | INVIAS | $12200 | ACTIVE
Chicoral | Concesionaria San Rafael S.A | $16400 | ACTIVE
Cocora | | $15300 | ACTIVE
Flandes | Autovia | $18000 | ACTIVE
Gualanday | Concesionaria San Rafael S.A | $13700 | ACTIVE
Honda | Alternativas Viales | $15700 | ACTIVE

VALLE DEL CAUCA
Betania | Pisa S.A. | $12800 | ACTIVE
Cencar | Rutas del Valle | $11800 | ACTIVE
Cerrito | Rutas del Valle | $11800 | ACTIVE
CIAT | Rutas del Valle | $11900 | ACTIVE
Corozal | Autopistas del Café | $15400 | ACTIVE
Estambul | Rutas del Valle | $11900 | ACTIVE
La Uribe | Pisa S.A. | $12800 | ACTIVE
Mediacanoa | Rutas del Valle | $11800 | ACTIVE
Paso de La Torre | Rutas del Valle | $11800 | ACTIVE
Río Frío | INVIAS | $11400 | ACTIVE
Rozo | Rutas del Valle | $11800 | ACTIVE
Toro | INVÍAS | $11400 | ACTIVE
Loboguerrero | Concesionario LB SAS | $10300 | ACTIVE

